\Company,location,province,tag
S.C.A.E. Europe Srl,SestoFiorentino,Tuscany
S.C.S. Società Costruzione Stampi S.r.l,Monsano,Italien,,
S.I.RE. S.p.A.,ArenaPo,Italien,,
S.T. Soffiaggio Tecnica S.r.l.,Monza,Lombardy
SABO S.p.A.,Levate,Lombardy
SACMI Imola S.C.,Imola,Emilia-Romagna
Sagitta S.p.a.,Vigevano,LombardyRubber & TPE
Saldoflex S.r.l.,SolbiateOlona,Lombardy
SARA S.R.L.,Volpiano,Piedmont
SEI Laser,Curno,Lombardy
Selectra S.r.l.,Padernod'Adda,Lombardy
SER S.r.l.,SalsomaggioreTerme,Italien,,
Siapi S.r.l. - A Socio Unico,SanVendemiano,Veneto
SICA S.p.A.,Alfonsine,Emilia-Romagna
SIMA srl,CastelfrancoE.,Emilia-Romagna
Simatec S.r.l. technologies for plastics industries,Camposampiero,Veneto
Simec Group S.r.l.,OlgiateOlona,Lombardy
Simex S.r.l.,Loreto,Marche
SIMO srl,Camerano,Italien,,
SIMOPARMA PACKAGING ITALIA SRL,CastelGuelfoBologna,Italien,,Premium-Aussteller
Simplas S.p.A.,Arcisate,Lombardy
SIPA S.p.A.,VittorioVeneto,Veneto
Sirmax S.p.A.,Cittadella,VenetoPremium-Aussteller
SIROPACK ITALIA s.r.l.,Cesenatico,Emilia-Romagna
Sitra S.p.A. Masterbatch,Napoli,Italien,,
SMI S.p.A. Gruppo IVA SMI INDUSTRIES,SanGiovanniBianco,LombardyPremium-Aussteller
SOLVAY,Bollate,Lombardy
Sonic Italia S.r.l.,MazzodiRho,Lombardy
Sorema Division of Previero N. S.r.l.,AnzanodelParco,Lombardy
SOTEMAPACK S.p.A.,Anzoladell'Emilia,Emilia-Romagna
Specchidea S.r.l.,SettimoTorinese,Italien,,
STAR Automation Europe S.p.A.,CasellediSantaMariadiSala,Italien,,
STEBO SRL,Travagliato,Lombardy
STOCCHIERO SRL,Arzignano,Veneto
SYNCRO Srl,BustoArsizio,Lombardy
SYTRAMA ROBOLINE SRL,Vignate,Lombardy
T2 S.r.l.,Sondalo,Lombardy
Tabo di Tabacchi Onesto,Correggio,Emilia-Romagna
TAPEMATIC S.p.A.,Ornago,Italien,,
Taro Plast S.p.A.,Soragna,Italien,,Rubber & TPE
Tec Mac S.r.l.,Galliate,Piedmont
Tecmes S.r.l.,VaianoCremasco,Lombardy
Tecniche Nuove S.p.A.,Milano,Italien,,
TECNO SERVICE SRL,Rezzato,Italien,,
Tecno System Srl,Consandolo,Italien,,
Tecnodinamica S.r.l.,FarradiSoligo,Veneto
Tecnofer Ecoimpianti S.r.l.,Ceneselli,Veneto
Tecnofilm S.p.A.,S.ElpidioaMare,MarcheRubber & TPE
Tecnomagnete S.p.A.,Lainate,Lombardy
TecnoMatic S.r.l.,Osimo,Marche
Tecnomatic S.r.l.,AzzanoSanPaolo,Lombardy
Tecnova S.r.l.,Oleggio,Piedmont
Tecom S.r.l. Costruzioni Meccaniche,OlgiateOlona,
Teknomast s.r.l.,Legnano,Italien,,
Telerobot Spa,Alessandria,Italien,,
TEMAC S.r.l.,CassanoMagnago,Lombardy
Ten-Fluid S.r.l.,Villongo,LombardyRubber & TPE
Termostampi S.r.l.,CernuscoS/N,Lombardy
Tessitura Tele Metalliche Rossi Srl,VillaGuardia,Italien,,
TGS Stampi S.r.l.,MaiolatiSpontini,Marche
Thermoplay S.p.A.,Pont-Saint-Martin,AostaValley
TORRI GUARNIZIONI INDUSTRIALI S.R.L.,Capriolo,Lombardy
TOVO GOMMA S.p.A.,Bedizzole,LombardyRubber & TPE
TPV Compound S.r.l.,Argenta,Emilia-Romagna
Tria S.p.A.,ColognoMonzese,Lombardy
Ultrabatch srl,CastanoPrimo,Lombardy
Uniform srl,Marostica,Italien,,
UNILOY ITALY S.r.l,Magenta,Lombardy
Union Officine Meccaniche S.p.A.,S.VittoreOlona,Lombardy
Unitech Srl,Vigevano,Lombardy
UTECO CONVERTING SPA,ColognolaaiColli,Veneto
UTPVision s.r.l.,AlbanoSant'Alessandro,Lombardy
Valtorta S.r.l. Battaggion Group,Brescia,Italien,,
VAMP-TECH S.p.A.,Busnago,Lombardy
VE.TRA.CO Srl,Ticengo,Lombardy
Velomat S.r.l.,Spoltore,Abruzzo
VEMA SRL,Pedrengo,Italien,,
Versalis S.p.A.,SanDonatoMilanese,Rubber & TPE
Viappiani Printing S.r.l.,Segrate,Lombardy
Viara S.r.l.,Imola,
VIBIPLAST s.r.l.,CastanoPrimo,Italien,,Rubber & TPE
Villani Giovanni srl,Prato,Italien,,
VIPLAS S.r.l.,Gussago,Lombardy
VISMEC S.r.l.,Camposampiero,Italien,,
WPS S.A.S. di Zanlucchi Antonella & C.,CardanoalCampo,Lombardy
Z.R.E. S.r.l.,S.Gillio,Piedmont
ZAMEC SRL,Lendinara,Veneto
Zocchi Giovanni,Verghera,Lombardy
Zoppas Industries Heating Element Technologies - IRCA SPA,VittorioVeneto,Veneto
